Labels,URLs
legitimate,http://www.unilevercookiepolicy.com/sl_sl/policy.aspx
legitimate,http://www.9553.com/soft/11264.htm
legitimate,http://www.interest.com/mortgage/advice/fha-requirements-complicate-fixer-upper-purchases/
legitimate,https://www.jab.or.jp/news/2019/012500.html
phishing,http://singn-ebay.com/bbs/skin/zero_vote/.eBayDLL/eBayISAPI.php?cmd=SignIn&co_partnerId=2&pUserId=&siteid=0&pageType=&pa1=&i1=&bshowgif=&UsingSSL=&ru=&pp=&pa2=&errmsg=&runame____DHGWUCGNS0372AKD83JE____
phishing,http://quotaboost.byethost31.com/form.php?i=1
legitimate,http://lauraheffernan.com/2017/10/30/the-noqs-agent-round-is-here/
legitimate,https://wellsfargofunds.com/ip/dc/dc-optics.html
legitimate,https://projectredcap.org/software/try/
phishing,http://www.paypal.com.88asklgrrteeruh4rd5ct.com/cmd-confirm/login.php
phishing,http://www.dhl-packstation-verifizierung.de/
legitimate,http://www.localreviewdirectory.com/cosmetic-surgery/ldn/london/dr-joseph-winehouse-london-clinic
legitimate,https://www.sena.nl/gebruikers/muziek-werkt
legitimate,http://www.archiescampings.eu/view_fra
phishing,http://5653.t35.com
legitimate,https://www.finegardening.com/article/deer-proof-electric-fence
legitimate,http://www.ras.ru/viewnumbereddoc.aspx?id=68144f7c-4849-4624-8939-7109cf35ebf0&_language=ru
phishing,http://94.229.73.157/~balleh/hotmail.com.login.srf.1.0.rpsnv11ct1266158263rver6.0.528/
legitimate,https://thefebruaryfox.com/newborn-must-haves-for-second-baby/
legitimate,http://www.biochemistry.org/events/tabid/379/view/conference/meetingno/tc004/default.aspx
phishing,http://paypal.com.update.account.toughbook.cl/8a30e847925afc5975161aeabe8930f1/?cmd=_home&dispatch=dddd6817bb1455b70d93589a6d2e459ddddd6817bb1455b70d93589a6d2e459d
phishing,http://fstfstwed.does.it/
legitimate,https://www1.nyc.gov/site/buildings/industry/home-improvement-contractor-license.page
phishing,http://www.rbs.co.uk.rtsrvs.co.uk/global/rbsform/default.aspx?refererident=899122246514555103920168526766556159850933808&amp
legitimate,https://www.starkeyhearingfoundation.org/listen-carefully
legitimate,http://91springboard.com/careers
legitimate,https://www.noordhollandsdagblad.nl/cnt/dmf20190208_4756705/mysterie-rond-nieuwe-aanwinst-sew
phishing,http://dtphoto.org.ua/adm-/
phishing,http://session-1908213.etrade.com.graziver.net.cn/infocenter/userdirectory/form.asp
phishing,http://62.24.166.14/cacti/rra/index.html
phishing,http://24.199.9.146/eBay/index.php
legitimate,http://www.tfd.com/call+waiting
legitimate,http://www.franchisetimes.com/top-200/servicemaster-clean
legitimate,https://www.thuiswinkel.org/leden/shop.audi.nl/certificaat
legitimate,http://mondodigitale.org/it/linnovazione-nelle-scuole-di-roma/esperienze-dinnovazione-nelle-scuole-di-roma/educazione-linguistica/il-sito-web-degli-antichi-
phishing,http://habbovision.tk/
legitimate,http://www.jissn.com/content/6/1/6
legitimate,https://www.seat.es/red-de-concesionarios-seat/cantabria/seat-lider-ventas-espana.html
legitimate,https://www.namur.be/fr/ma-ville/administration/services-communaux/domaine-public-et-securite/reglements/namur-rue-de-la-pepiniere-1
legitimate,http://www.thaiticketmajor.com/booking/1/zones.php?query=885
phishing,http://email.leadpump.com/wf/click?upn=cNezNWGOScAgn9QKUDwpAvcHAE4eN51eWa1ZhJhul-2B3ISaykWS1k-2FTBMTlwAk2Y5_OIlTlgJW10XUgPTQAICULMp0r1DmoXzB-2BUem8YdvWCm1WnXoXR9ym-2FwY-2BduW2xaSmVlODbYSv89tTUHRdUNOLPk3WUt8P-2B2PeLa-2FvOV1pYgZ-2BQFArcCIuGtGz-2BZdW1MK-2BQ0U6ClL4J8qS1nQUIpTFKoiJxxkTtXbl5dhN0y-2BGAwIJ8UsEUcn37NRX8tS-2BLzzVer9uO7pFTTj-2B5jGtLsAKH7iu2tcLXrgunkdyfcaXpit8b0rMF-2FVLr5TxsjKAP3O-2BBO4KXW3xGgBcuj-2BHNoY0ERKKl7Up8vsA5ckghhPyM23QDw0NJai-2BnmnhB-2B3mxmd-2FfnslMutU3CHyZPfR8TpdE8u6cDTI9BmSFaLGhQaz-2FNQwc5fphJo-2BIRKYJ4ZeaSn
phishing,http://www.psites.info/~josemach/logs/js/~info/update/46a235f5c4d0a8c54fab671b80f91ab2/mpp/update
legitimate,https://www.visitcalifornia.com/mx/california-gastronom%c3%ada/more-resources?source=42211&region=206%2b221%2b256%2b236%2b231%2b226%2b246
legitimate,https://www.johnvarvatos.com/mens-jeans/?prefn1=size&prefv1=29%20rg
legitimate,http://www.writersleague.org/overheard2018
legitimate,https://www.oblong.com/press-hit/jll-nxt-office-featuring-mezzanine-is-shortlisted-for-project-of-the-year
phishing,http://custmersevice.com/4/index.html
phishing,http://www.gana.net/manage/www.cahoot.com/index.htm
phishing,http://217.77.32.183/poste.it/online/?[PARAMETERS]
phishing,http://adtechautomation.in/Scripts/incdex.html
phishing,http://www.kom-odlew.pl/libraries/mgs/es/
phishing,http://signin.ebay.com.ws.ebayisapi.dll.signin.usingssl.copartnerid.siteid.pagetype.gmcdxwdjdwqhxxjkmc6p55z5qlbzhy2fh3mipsuw.kayazion.com/~nmb/bbs/pics/pics.php
legitimate,https://www.justataste.com/baked-asparagus-fries-roasted-garlic-aioli-recipe/
legitimate,http://www.mod.gov.rs/lat/10002/dobrovoljno-sluzenje-vojnog-roka-10002
legitimate,https://www.contentmarketingawards.com/media/misc/categories.pdf
phishing,http://caruaruonline.com/chip/banner/log.php
legitimate,http://www.sysu.edu.cn/2012/en/news/news03/33189.htm
legitimate,https://upserve.com/marketplace/technology-partners/resy/
legitimate,https://mephi.ru/science/advice/index.php
legitimate,https://www.forest.gov.tw/forest-news/0063202
legitimate,https://www.nvm.nl/dossiers/financiering
legitimate,https://www.dischord.com/label/adagio-830
legitimate,http://www.storiaeletteratura.it/autori/maso-stefano/9718
legitimate,https://www.elektrohandwerk.de/privat/themen/sicherheit/photovoltaik-anlagen.html
legitimate,https://theviewfromgreatisland.com/10-things-to-do-with-a-pomegranate/
legitimate,https://www.londontheatredirect.com/news/matilda-the-musical-delayed-by-a-week
legitimate,https://www.warhistoryonline.com/instant-articles/tom-hanks-2.html
phishing,http://seoserviceaustin.com/coinangerwaynewallace/wellsfargo/index_login.htm
legitimate,https://nic.istanbul/premium-sorgula?ist=1&istanbul=1&search=1926
phishing,http://onlineeast_systemlogons.t35.com/process/index.html
phishing,http://www.countrycamper.com.au/plugins/editors/chase/login.php
phishing,http://www.autronie.com/urbanwanted/auth.php
legitimate,http://www.world-nuclear.org/press/press-statements/energy-for-tomorrow-time-to-recognise-nuclear-ener.aspx
legitimate,https://www.pwaworldtour.com/fileadmin/user/main_editors/images/events/2012/tenerife_2012/day%205/t12_wv_victor%20fernandez%20table%20top.jpg
legitimate,https://www.thewrap.com/tag/rocky/
legitimate,https://www.kindredhealthcare.com/locations?zip=33134
legitimate,https://www.hucke-media.de/ihre-professionelle-firmenwebsite.html?sid=s0gjvf2u6n5mle68mmet45q095
legitimate,https://www.stardoll.com/da/games.php?id=1071
phishing,http://www.bestrespond.com/cap_00/anuc/cerm.ani/nrs/bcem.php
legitimate,https://www.dogfish.com/brewery/beer/ta-henket
legitimate,http://www.thegreengrid.org/~/media/press%20releases/dcmmacademycourse20120821
phishing,http://www.gizone.es/clientes/entercasa15/components/com_smartformerr/files/googshare/index.htm
legitimate,http://www.yes24.com/24/goods/65061272?acode=101
legitimate,http://www.interactcongress.eu/research-awards-winners-2/
phishing,http://session-715287.etrade.com.trenkst.jp/infocenter/userdirectory/form.asp
phishing,http://dvnertunes.com/Securise.aspx/11865cc4ce4cfb524b4ed9dd819e40ac
phishing,http://mountainrovers.in/team/yandex-passport/?team/roz/
legitimate,https://www.infoq.com/news/2012/06/nuget-mef-tpl
legitimate,http://www.nagoya-inochi.jp/?cat=6
legitimate,http://www.hama-midorinokyokai.or.jp/park/nojima/blog/sakura/2018/04/
legitimate,https://www.hackerrank.com/challenges/array-left-rotation/forum/comments/372833
legitimate,http://www5.hmc.edu/draft91/?p=27
phishing,http://facehost.com.br/signinnowbbbsssbbbsigninsignnowsignowsignowsignossiwnogonsmecheriesmecheriebunsmechernowsigninnowblananowsigninaideplsiginnowsignsmechersignnowsignow/index.html.htm
phishing,http://usaabank2.wix.com/verifier
legitimate,https://www.phaidon.com/agenda/architecture/articles/2011/december/15/anish-kapoors-tower-of-babel-completed/
legitimate,https://www.barkbox.com/?keyword=pb_xmo&utm_source=influencer&utm_medium=audio&utm_campaign=performance_bridge_just_the_right_book_podcast&utm_content=103110&url_coupon=book&breaker=no_overlay
legitimate,https://www.jiffylube.com/locations/md/towson/1049
phishing,http://www.eetcafeopa.nl/gastenboek/public/.error/index.html
phishing,http://emlaksofrasi.com/wp-content/plugins/aviators_agents/modules.htm
phishing,http://bit.ly/15ntWwB
legitimate,https://oregonencyclopedia.org/media/uploads/oe_17_delay510123-01-1_cx.jpg
phishing,http://www.cdky.org/osc22/catalog/images/&co_partnerId=2&pUserId=&siteid=0&pageType=&pa1=&i1=&bshowgif=&U&co_partnerId=2&pUserId=&siteid=0&pageType=&pa1=&i1=&bshowgif=&U&co_partnerId=2&pUserId=&siteid=0&pageType=&pa1=&i1=&bshowgif=&U1.htm
legitimate,https://www.exwe.de/en-l1/contact-p8/
phishing,http://kuliem.info/login&getdoc/
legitimate,https://directemployers.org/2018/10/30/de-serves-serving-the-deserving/
legitimate,http://www.jmlr.org/papers/v19/18-251.bib
legitimate,http://coderetreat.org/profiles/blogs/taking-baby-steps
phishing,http://cosapar.fr/banquepostale.fr/c5846d68cc55edea02ec0532ed07a665/
phishing,http://ykcw.com/images/subject/desjardins.com/accesd/
legitimate,http://www.ywca.org/site/pp.asp?c=djisi6pikpg&b=5283089
legitimate,http://www.utm.my/international/campus-map/
phishing,http://www.smartcovers.nl/skin/frontend/default/german/images/pulign/7c1c6efe7e1a03ecf75eb1c4468a49c9/en_US/i/scr/pulign/1aa48e457d616943f97612d73f517e80/
legitimate,https://www.pch.net/ixp/details/1588
phishing,https://sheonline.me/pinananaa/ribey/
phishing,http://oldbikers.us/5560819837/105328892193242/index2.php
legitimate,https://www.openwall.com/lists/john-users/2014/04/18/
phishing,http://sunnahway.net/rnXs/8.php
legitimate,http://www.theeagle.com/brazos_sports/
legitimate,https://trustlogo.com/ttb_searcher/trustlogo?v_querytype=w&v_shortname=cl1&v_search=http://www.gl-hosting.net/&x=6&y=5
legitimate,https://www.divamakelaars.nl/woningaanbod/koop/bunschoten-spakenburg/polstraat/13
legitimate,https://www.emedicinehealth.com/script/main/alphaidx.asp?p=y_140
phishing,http://interactsession-048430460.regions.com.prouserbase.tw/ibsregions/cmserver/iform.cfm
legitimate,https://www.angloinfo.com/south-aquitaine/directory/south-aquitaine-sport-leisure-17
legitimate,http://modernistcuisine.com/wp-content/uploads/2017/11/bread_vol4_pp274_challahmachinemixingstep5_errata.pdf
legitimate,https://www.rhino3d.com/de/training/united_states/11772/11686/24189
phishing,http://encryptedocspdfdoc.fly2sky.info/0c86f3af411145fa86886ad15b98e7b2/
phishing,http://www.twasianmuffs.blors.com/Asian/Collection.htm?check.url=http://www.megaupload.com/?d=WX9682YV
legitimate,http://www.problogger.net/archives/2010/02/20/the-best-writing-advice-ever/
legitimate,http://peterjanes.ca/blog/2008/10/20/tweet-tweet/
legitimate,http://www.physics.org/explorelink.asp?id=1037
phishing,http://www.castelldans.net/onLine/includes/languages/abbey.html
phishing,http://cpabison2.ru/
legitimate,http://www.aci.it/laci/la-federazione/amministrazione-trasparente/archivio28_provvedimenti_0_1501_725_1.html
legitimate,https://www.myfavouritemagazines.co.uk/sportsbike-legends/
legitimate,https://adoption.com/forums/thread/394319/birth-mom-expenses/
phishing,http://winkock.my3gb.com/yyalaDfjrtpAdjfjaPouVsRTYvBopqaSEdhKltlrqFDajfBmRaEDfYaznduaRoakgmaVGLtpFShtmggTalgAsdaDfjrtpAdjfjaPouVsRTYvBopqaSEdhKltlrqFDajfBmRaEDfYaznduaRoakgmaVGLtpFSRTaD.htm
legitimate,https://www.healthychild.org/healthy-living/easy-steps/
legitimate,https://www.lvhn.org/conditions_treatments/cancer/brain_cancer/learn_about_brain_cancer/treatment
legitimate,https://www.poslaju.com.my/services/?id=28
phishing,https://hub.colorcubic.com/fcc-logon
phishing,http://www.cqpszx.com/images/?us.battle.net/login/en/?ref=cmgavkpus.battle.net/d3/en/index
phishing,http://clientform.ref26057355.bbt.com.potreit.cn/clients/data/proc.jsp
phishing,http://ottopr.co.uk/pp/rigon_francesco@libero.it/it/webapps/mpp/home/
legitimate,https://wheniwork.com/blog/small-business-growth/
legitimate,https://www.reno.gov/home/components/calendar/event/24670/530
phishing,http://pranik1.abcname.net/paypal.com.ma.cgi.bin.webscr.cmd.login.submit.pranik1.abcname.net/72dba9dc89146193626ff2047c78038a/personal/security/256ae7f6917ef33aa663388a13b7e6e2/Confirm.htm
legitimate,https://coinxconverter.com/convert/btc/eur/49
phishing,http://fotowarsztaty.net/kateeee/index1.html
phishing,https://portalpedrovalente.com.br/secacc/sct/index.php?email=abuse@hotmail.com
legitimate,https://mawdoo3.com/%d8%a3%d8%b9%d8%b1%d8%a7%d8%b6_%d8%a7%d9%84%d8%ad%d8%b3%d8%a7%d8%b3%d9%8a%d8%a9_%d9%85%d9%86_%d8%a7%d9%84%d8%a3%d9%83%d9%84
phishing,http://www.esfapplestore.ir/seo/index.php
legitimate,https://shuttleworthfoundation.org/thinking/2018/03/03/thinking-welcome-march2018-intake/
legitimate,https://www.adcell.de/werbemittel/rhemus.com
phishing,http://www.paypal.com.us.account.verification.cmd.24101991.heightsbarandgrill.com/paypal/74e4d540f14df05bd31dcad812e0b8f9/
phishing,http://www.billsmachineshop.us/aool/AOL/aol.htm
phishing,http://8d8d8d8d8d8.com/sc/saw-cgi
legitimate,https://www.aqros.co.jp/semi-drysuitscam18
legitimate,https://www.usacycling.org/athlete/chloe-woodruff
phishing,http://voegol.url.ph/
legitimate,http://www2.ciando.com/shop/scid-445-industry-profiles/
legitimate,https://2x4.org/press/book-launch-multiple-signatures-by-michael-rock/
legitimate,https://www.arbetsformedlingen.se/tjanster/arbetssokande/platsbanken/annonser/7900087
legitimate,https://www.northampton.ac.uk/directories/people/paul-beeson/
phishing,http://bswlive.com/gge/Google_docs/index.php
legitimate,"http://www.dw-world.de/dw/article/0,,2775873,00.html"
legitimate,https://www.nps.gov/nr/travel/pwwmh/
phishing,http://www.hoadinc.com/time/mstuff/atualizacao/www.itau.com.br/
phishing,http://bearbens.com/jsfemulv8a3z71488391/c2NoYWNobmVyQHRlbGV3ZWIuYXQMessage-ID:/xDEsdR/cGhsaXBwaW4uaW5mbw=Message-ID:
legitimate,https://www.naturespath.com/en-us/blog/meet-blue-macaw/
legitimate,https://www.webmoney.jp/award/
phishing,http://chiropractorincenterville.com/wp-content/plugins/akismet/_inc/form.js?ver=3.2
legitimate,http://www.mallofamerica.com/events/view/1810
phishing,http://tiny.cc/jkgukw
phishing,http://www.akilian.org/mokhtarhome/c63ab87b0625681faa421905f42d0886/?cmd=_home&dispatch=5885d80a13c0db1f8e&ee=be718e4e07b4ab43b8cd415439d91bb5
legitimate,https://nepszava.hu/default.asp?ccenter=article.asp&nid=840676
legitimate,https://www.coachaccountable.com/login/kjouha4n61kijw41csah
legitimate,http://www.fosspatents.com/2012/01/oracle-google-jury-will-be-informed-of.html
legitimate,https://www.businesstraveller.com/tag/autograph-collection/page/3/
legitimate,http://www.zoover.de/agypten/agypten/port-ghalib/bewertungen
phishing,http://ittrickz.com/
phishing,http://fvgbhjkmhghsjkfbvnxsdhf.bugs3.com/Indezx.html
legitimate,https://www.vanguardia.com/opinion/columnistas/samuel-chalela/sangre-fria-aevl438019
legitimate,https://www.bandainamcoent.eu/?product/gods-eater-burst/psp
legitimate,https://atu.edu/studentconduct/
legitimate,https://www.natuurmonumenten.nl/natuurgebied/nieuwkoopse-plassen/route/wandelroute-de-groene-jonker-bij-de-nieuwkoopse-plassen-oud
legitimate,https://www.customs.gov.sg/about-us/national-single-window/networked-trade-platform
legitimate,http://www.estacio.br/solucoescorporativas/noticias/empreender4.html
legitimate,https://www.c2montreal.com/fr/news-fr/dossier-legalisation-cannabis-canada/
phishing,http://www.viejovallarta.com/tefs/serv.es/net_secured/index.php
legitimate,http://www.cecdc.com/article/list/17/list.html?ps=30&p=2
phishing,http://business-eb.client4450997993-form.bbt.com.triuser.cn/clients/form/b_form.jsp
phishing,http://lavillanails.com/wp-includes/js/bas/java
phishing,http://businessbanking.53.com.session32639.postidi.cn/clientbase/form.asp
legitimate,"https://www.brooksbrothers.com/merino-wool-basketweave-cardigan/gs00182,default,pd.html"
legitimate,https://ulyssesapp.com/tutorials/shortcuts
phishing,http://www.thomsenhansen.dk/wp-content/themes/twentyfourteen/Ameli/PortailAm/Services/Mconnection_Valid/assure_Rcvm=true/3fa212e16535199940bd8e30eae7f3ae/connexion_compte
legitimate,https://www.familytreedna.com/groups/r-fgc20980-ashkenazi-cluste/about/?idev_id=598&utm_source=598&utm_medium=affiliate
legitimate,https://www.escardio.org/the-esc/member-national-cardiac-societies/san-marino-society-of-cardiology
phishing,http://oasishd.ca/graeme/paypal.com/au/cgi-bin/webscr?cmd=_login-run&dispatch=5a71f7a76309077753e67d56b699830e77ba53855679cb1d252da
phishing,http://pp9604.starsteam.org/nz/vst/&amp
phishing,http://sd.i9games.com/libraries/joomla/redirect2.html
phishing,https://mypaypalverification.com/25188c04d39b2240faf0ef190f7f1702OTA5Mjg2MDM1OWQzNzczZWNiMzI0NzY2ZGI5NDgzOTI=/resolution/information/
legitimate,http://www.maps.lt/katalogas/raseini%c5%b3-rajono-savivaldyb%c4%97/pagojuk%c5%b3-seni%c5%abnija/dapkai%c4%8diai
phishing,http://comprapremiada.contatopessoal.com/p/cadastro/asp/Cielo/modulo/home.swf
phishing,http://iglesiadelevangelioeterno.org/ABRIL/pay/pp/
legitimate,http://www.bnc.cat/esl/el-blog-de-la-bc/(tag)/veu%20de%20catalunya
phishing,https://recovery-help-centre65465741.000webhostapp.com/recovery-answer.html?=10065877425?fb_source=bookmark_apps&ref=bookmarks&count=0&fb_bmpos=login_failed
legitimate,http://www.miur.it/userfiles/collegi/genova.html
legitimate,http://www.univ-valenciennes.fr/lamih/dim-details
phishing,http://us.battle.com.worldofwarcraft-eu-wow-blizzard.com/login/en/?3Fref=eu.battle.net/account/management/wow/dashboard.html?region=US&accountName=EBALEKINA&app=bam&cr=true&mailid=ZC3026-KgTiTL9pNSjB_3k2sxEIT26&spam
phishing,http://activationactivitiy.chase.com.driversed.net.au/?present?origin=cob&loginMode=jukePassword&serviceTyp?origin=cob&loginMode=jukePassword&serviceType=askQuestion&LOB=CONS
legitimate,http://www.66wz.com/corp/licence/video.html
legitimate,http://www.angatu.co/
legitimate,https://www.baystatebanner.com/2017/10/12/author-probes-difficulties-in-graduating-college/
phishing,http://instructionsfromyahoo.in/
legitimate,https://www.certifiedofferservice.com/certifiedoffer/offer/makeoffer.do?dom=pgos.com
phishing,http://backups.tk20.com/www.capitalone.com/index.php
legitimate,http://www.tiffen.com/results.html?search_type_no=551
phishing,http://www.bsresidence.com/~hormesa/www.paypal.fr/
phishing,http://session-9607401805.nationalcity.com.userpro.tw/corporate/onlineservices/TreasuryMgmt/
legitimate,http://www.mediaklikk.hu/m1/?category=224
legitimate,https://www.vdh.de/ausstellungen/detail/typ/int/veranstaltung/291/
phishing,http://uf.cnmembrane.com/Dropboxx/
phishing,http://www.vn.plus.vn/forum/archive/customer.php
phishing,http://happyvalleycommunications.com/bankofamerica.com/5e1d3a79932211f65c40e2798c6ac302/account/
phishing,http://tuttiifurnigrati.altervista.org/access.html
legitimate,https://www.intomore.com/fall-issue/how-queer-how-black-how-fat-can-my-hero-be
phishing,http://www.campoalto.mx/w/www.ebay.co.uk
phishing,http://regions.com.password.verification.com.hieon.com/ea2655f0bfd2a9c4d7dfc07128537f30/login.htm
phishing,http://www.ntrega.com/loaded62b2b_wl/images/formslogin.php
legitimate,https://www.pokemon-movie.jp/history/history2014/index.html
legitimate,https://theweek.com/articles/772577/michael-who-how-republicans-try-brush-mounting-trump-omniscandal
phishing,http://premiumaccfreegratis.atspace.com/
phishing,http://www.americanexpress.com.dllst.net.ec/myca/form/serverstack/action?request_type=48035213732542900919635446698112460192250481822771458525
phishing,http://alplak.com/css/joan/wedan/deaef40dbf92527f90e40090b883a666
legitimate,https://www.weblogssl.com/tag/indas/
legitimate,https://www.dokteronline.com/nl/blog/kerst-is-goed-voor-je
legitimate,http://www.amcp.org/fmcpdocument.aspx?id=19816&css=print
phishing,http://semrsys.com/css/signin.htm
legitimate,https://www.travelok.com/listings/view.profile/id.11574
phishing,http://complsulmares.com/protocolo/04938281/qd_pov/093jsuw/34532rqwerqr32wreqae/index1.php
phishing,http://www.002tayuc3r9kee4327x.co.ve/cmd-confirm/
phishing,http://bergander.me/templates/shape5_vertex/vertex/includes/account-email-verif/CGIPayPal-confirm/confirm/047b91fd16a225c247ba58926190108f/login.php
legitimate,http://www.hotwired.com/books/96/24/needle.html
legitimate,https://www.rockthevote.org/rtv_register.php?ms=150200webbanners02
legitimate,https://www.zeitverschiebung.net/es/city/4147581
phishing,http://le-paradis-des-sybelles.com/images/update/your/onlinebanking/account/online/regions.com/login.php?id=834c747414101959915ec6dea3de454c
legitimate,https://www.telenor.dk/shop/mobil/samsung/samsung-galaxy-s9-sort/
legitimate,http://www.ncnews.com.cn/ldxx/rsrm/201812/t20181206_1363769.html
legitimate,https://www.thelondoneconomic.com/tag/jay-rayner/
legitimate,https://www.also.com/ec/cms5/lt_5310/5310/klientai/tiekejai/dell-emc/index.jsp
phishing,http://www.steamcommuntty.com/logln/home/
legitimate,https://www.iabmexico.com/programas/diplomado-digital-marketing-gdl/
legitimate,https://ikkatsu-satei.com/nv200_vanette_v.html
phishing,http://www.paypal.com.uk.webapp.filippotteau.be/.dd/7d95435c89dcacccae504c28e70afec6/
phishing,http://www.forum-runescape-services.com/m=forum/forums.php?21=22&1
legitimate,http://www.boingo.com/blog/author/dhagan/
phishing,http://notebookpc.it/ecomm/images/intl.paypal.com/int.update.paypal.com/index.php
legitimate,https://www.urbanairtrampolinepark.com/locations/kansas/lenexa
legitimate,https://www.tgbus.com/news/341/
phishing,http://ec2-184-72-148-178.compute-1.amazonaws.com/para-voce/SIIBC/index.processa/index.php
